No,台詞,出力wav名,開始,終了,元WAV,OKテイク
16,おかえりんさーい,Vol10016_01.wav,2.967,4.9670000000000005,月野レン_Voice_rec_241016_01.wav,OK
17,これ押してっ！,Vol10017_01.wav,6.475,8.475,月野レン_Voice_rec_241016_01.wav,
100,ラッキー！,Vol10100_01.wav,8.933,10.933,月野レン_Voice_rec_241016_01.wav,
72,ボーナスだよ,Vol10072_01.wav,12.172,14.172,月野レン_Voice_rec_241016_01.wav,
72,ボーナスだよ,Vol10072_02.wav,15.578,17.578,月野レン_Voice_rec_241016_01.wav,
20,長押ししてっ！,Vol10020_01.wav,18.17,20.17,月野レン_Voice_rec_241016_01.wav,
21,スペシャルボタンを押してっ！,Vol10021_01.wav,21.93,23.93,月野レン_Voice_rec_241016_01.wav,
000(mis),You,Vol10000_00_mis01.wav,27.493,29.493,月野レン_Voice_rec_241016_01.wav,
16,おかえりんさーい,Vol10016_01.wav,2.854,4.854,月野レン_Voice_rec_241016_02.wav,
17,これ押してっ！,Vol10017_01.wav,6.768,8.768,月野レン_Voice_rec_241016_02.wav,
100,ラッキー！,Vol10100_01.wav,9.822,11.822,月野レン_Voice_rec_241016_02.wav,
86,リプレイだよ！,Vol10086_01.wav,13.734,15.734,月野レン_Voice_rec_241016_02.wav,
000(mis),He gaLuo chite?,Vol10000_00_mis01.wav,16.865,18.865,月野レン_Voice_rec_241016_02.wav,
21,スペシャルボタンを押してっ！,Vol10021_01.wav,20.969,23.169,月野レン_Voice_rec_241016_02.wav,
1,エコ機能を設定しました,Vol10001_01.wav,2.656,5.656000000000001,月野レン_Voice_rec_241016_03.wav,
2,通常モードに設定しました,Vol10002_01.wav,8.2,10.2,月野レン_Voice_rec_241016_03.wav,
3,エラーです,Vol10003_01.wav,13.595,15.595,月野レン_Voice_rec_241016_03.wav,
3,エラーです,Vol10003_02.wav,18.28,20.28,月野レン_Voice_rec_241016_03.wav,
000(mis),Ren Shi ,Vol10000_00_mis01.wav,21.835,22.835,月野レン_Voice_rec_241016_03.wav,
4,扉が開いています,Vol10004_01.wav,23.838,25.838,月野レン_Voice_rec_241016_03.wav,
4,扉が開いています,Vol10004_02.wav,27.532,29.532,月野レン_Voice_rec_241016_03.wav,
5,係りの方をお呼びください,Vol10005_01.wav,31.71,33.71,月野レン_Voice_rec_241016_03.wav,
5,係りの方をお呼びください,Vol10005_02.wav,36.112,38.112,月野レン_Voice_rec_241016_03.wav,
6,解除されました,Vol10006_01.wav,42.026,44.026,月野レン_Voice_rec_241016_03.wav,
6,解除されました,Vol10006_02.wav,46.382,48.382,月野レン_Voice_rec_241016_03.wav,
7,コンプリート機能作動中。本日の遊技は終了しました,Vol10007_01.wav,52.916,54.916,月野レン_Voice_rec_241016_03.wav,
000(mis),Ben Ri noYou Yi ha,Vol10000_00_mis02.wav,55.658,57.658,月野レン_Voice_rec_241016_03.wav,
7,コンプリート機能作動中。本日の遊技は終了しました,Vol10007_02.wav,58.569,61.569,月野レン_Voice_rec_241016_03.wav,
7,コンプリート機能作動中。本日の遊技は終了しました,Vol10007_03.wav,64.2,66.2,月野レン_Voice_rec_241016_03.wav,
7,コンプリート機能作動中。本日の遊技は終了しました,Vol10007_04.wav,67.336,70.336,月野レン_Voice_rec_241016_03.wav,
8,コンプリート機能作動まで、残り500枚以下です,Vol10008_01.wav,73.512,75.512,月野レン_Voice_rec_241016_03.wav,
8,コンプリート機能作動まで、残り500枚以下です,Vol10008_02.wav,76.643,80.643,月野レン_Voice_rec_241016_03.wav,
8,コンプリート機能作動まで、残り500枚以下です,Vol10008_03.wav,84.145,88.145,月野レン_Voice_rec_241016_03.wav,
9,払い出しオーバーフローエラーです,Vol10009_01.wav,92.033,94.033,月野レン_Voice_rec_241016_03.wav,
9,払い出しオーバーフローエラーです,Vol10009_02.wav,96.668,99.668,月野レン_Voice_rec_241016_03.wav,
10,15000枚以上になりました,Vol10010_01.wav,102.995,104.995,月野レン_Voice_rec_241016_03.wav,
10,15000枚以上になりました,Vol10010_02.wav,107.429,109.429,月野レン_Voice_rec_241016_03.wav,
11,計数ボタンを押してください,Vol10011_01.wav,112.82,114.82,月野レン_Voice_rec_241016_03.wav,
11,計数ボタンを押してください,Vol10011_02.wav,117.189,119.189,月野レン_Voice_rec_241016_03.wav,
2,通常モードに設定しました,Vol10002_02.wav,121.7,123.7,月野レン_Voice_rec_241016_03.wav,
2,通常モードに設定しました,Vol10002_03.wav,125.386,127.386,月野レン_Voice_rec_241016_03.wav,
13,メダル数をクリアしました,Vol10013_01.wav,130.387,132.387,月野レン_Voice_rec_241016_03.wav,
13,メダル数をクリアしました,Vol10013_02.wav,135.272,137.272,月野レン_Voice_rec_241016_03.wav,
